COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01029,36264,HEFLIN,AL,0.542595897,0.657851240,0.737288136,0.552161800
01029,36207,ANNISTON,AL,0.003456735,0.000000000,0.000000000,0.003198844
01029,36273,RANBURNE,AL,0.184656557,0.190082645,0.127118644,0.184294706
01029,36272,PIEDMONT,AL,0.025646744,0.006611570,0.000000000,0.024146115
01029,36268,MUNFORD,AL,0.000111508,0.000000000,0.000000000,0.000103189
01029,36261,EDWARDSVILLE,AL,0.000000000,0.001652893,0.000000000,0.000103189
01031,36010,BRUNDIDGE,AL,0.014794190,0.004941599,0.000000000,0.013849736
01031,36311,ARITON,AL,0.004327552,0.000000000,0.000000000,0.003952690
01031,36316,CHANCELLOR,AL,0.018786273,0.008984726,0.000000000,0.017771786
01031,36346,JACK,AL,0.030460599,0.010332435,0.000000000,0.028526780
01031,36351,NEW BROCKTON,AL,0.085041430,0.061545373,0.001663894,0.081903420
01031,36467,OPP,AL,0.006642289,0.000000000,0.000000000,0.006066920
01031,36034,GLENWOOD,AL,0.004394646,0.000898473,0.000000000,0.004075254
01031,36009,BRANTLEY,AL,0.002079909,0.000898473,0.000000000,0.001961025
01031,36323,ELBA,AL,0.157569861,0.151392633,0.196339434,0.157862483
01031,36360,OZARK,AL,0.000436110,0.000000000,0.000000000,0.000398333
01031,36330,ENTERPRISE,AL,0.622865578,0.735399820,0.798668885,0.633778649
01031,36322,DALEVILLE,AL,0.001845080,0.000449236,0.000000000,0.001715897
01031,36477,SAMSON,AL,0.006508102,0.004492363,0.000000000,0.006250766
01031,36318,COFFEE SPRINGS,AL,0.007950619,0.000898473,0.000000000,0.007323201
01031,36079,TROY,AL,0.008990573,0.002246181,0.000000000,0.008364996
01031,36453,KINSTON,AL,0.027307189,0.017520216,0.003327787,0.026198063
01033,35616,CHEROKEE,AL,0.072057624,0.032037815,0.008453085,0.066441330
01033,35662,MUSCLE SHOALS,AL,0.042992600,0.070903361,0.000845309,0.044384684
01033,35654,RUSSELLVILLE,AL,0.016628682,0.012867647,0.005071851,0.015938024
01033,35653,RUSSELLVILLE,AL,0.006386990,0.000525210,0.001690617,0.005699201
01033,35582,RED BAY,AL,0.000056273,0.000000000,0.000000000,0.000049344
01033,35661,MUSCLE SHOALS,AL,0.288314904,0.329044118,0.311918850,0.292830356
